         601965921 function calls (599366529 primitive calls) in 540.396 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    209/1    0.002    0.000  540.425  540.425 {built-in method builtins.exec}
        1    1.520    1.520  299.489  299.489 load.py:23(load_schools)
       17    0.000    0.000  205.290   12.076 _decorators.py:283(wrapper)
       17    0.000    0.000  205.290   12.076 _base.py:273(read_excel)
   110360    1.375    0.000  197.502    0.002 indexing.py:661(__setitem__)
110362/110360   23.116    0.000  189.110    0.002 indexing.py:1523(_setitem_with_indexer)
        5    0.000    0.000  168.334   33.667 concat.py:70(concat)
        1    0.000    0.000  168.300  168.300 load.py:116(load_childrens_ages)
        5    0.000    0.000  168.296   33.659 concat.py:295(__init__)
       17    0.006    0.000  168.287    9.899 load.py:118(<genexpr>)
       16    1.358    0.085  168.280   10.518 load.py:53(load_childrens_ages_from_the_sheet)
   110360   21.779    0.000  156.463    0.001 indexing.py:1672(isetter)
       17    0.000    0.000  135.693    7.982 _base.py:847(__init__)
       17    0.000    0.000  135.266    7.957 _base.py:339(__init__)
       16    0.000    0.000  124.549    7.784 _xlrd.py:11(__init__)
       16    0.000    0.000  124.529    7.783 _xlrd.py:30(load_workbook)
       16    0.000    0.000  124.529    7.783 __init__.py:84(open_workbook)
       16    0.001    0.000  124.528    7.783 book.py:59(open_workbook_xls)
       16    0.001    0.000  123.861    7.741 book.py:717(get_sheets)
      256    0.003    0.000  123.860    0.484 book.py:696(get_sheet)
      256   36.148    0.141  123.790    0.484 sheet.py:789(read)
        1    1.564    1.564   72.367   72.367 students_by_year_of_birth.py:61(students_by_year_of_birth)
   110360    0.834    0.000   71.929    0.001 frame.py:3095(_iset_item)
       17    0.000    0.000   69.597    4.094 _base.py:872(parse)
       17    0.019    0.001   69.596    4.094 _base.py:390(parse)
        1    0.283    0.283   67.552   67.552 _openpyxl.py:532(get_sheet_data)
587966/587949    4.353    0.000   59.192    0.000 series.py:201(__init__)
   442479   56.340    0.000   56.340    0.000 {method 'copy' of 'numpy.ndarray' objects}
    55183    0.159    0.000   55.548    0.001 _read_only.py:58(_cells_by_row)
    55183    2.001    0.000   50.996    0.001 _reader.py:111(parse)
   245902    1.903    0.000   47.049    0.000 managers.py:369(apply)
   249258    1.042    0.000   44.115    0.000 frame.py:966(iterrows)
   173094    6.666    0.000   43.017    0.000 managers.py:1052(iset)
   135494    0.978    0.000   41.037    0.000 generic.py:5560(copy)
